,Name,Price,Views,Status
0, DELL INSPIRON 3585-W566015227PTHW10 (BLACK),"13,990.-","52,999 views",Free delivery
1, ASUS VIVOBOOK 15 X512DA-EJ139T (TRANSPARENT SILVER),"15,990.-","30,385 views",Free delivery
2, ASUS A570ZD-DM326T (BLACK),"16,900.-","29,302 views",Free delivery
3, HP 14-CK0012TX (SILVER),Price,Free delivery,This promotion is only available online.
4, DELL VOSTRO 3578-W5689552074WTHW10 (BLACK),"16,990.-","21,376 views",Free delivery
5, ASUS VIVOBOOK 14 X412UA-EK187T (TRANSPARENT SILVER),"11,990.-","18,728 views",Free delivery
6, ASUS VIVOBOOK 15 X512DA-EJ039T (TRANSPARENT SILVER),"13,900.-","17,814 views",Free delivery
7, ACER ASPIRE A315-53-3558 (BLACK),"13,990.-","17,666 views",Free delivery
8, ASUS X407UF-BV039T (GRAY),"13,490.-","16,980 views",Free delivery
9, ACER ASPIRE A515-52G-59WU (SILVER),"17,990.-","16,487 views",Free delivery
10, DELL VOSTRO 3580-W5680152068THW10,"23,900.-","16,356 views",Free delivery
11, ASUS X407UF-BV010T (GRAY),"15,700.-","15,150 views",Free delivery
12, HP PAVILION 15-CS1056TX (GOLD),"25,990.-","15,097 views",Free delivery
13, ACER ASPIRE A315-41-R9ZE (BLACK),"15,990.-","14,109 views",Free delivery
14, HP 14S-CF1050TX (SILVER),"15,900.-","13,750 views",Free delivery
15, DELL INSPIRON 7590-W567015008BPTHW10 (BLACK),Price,Free delivery,This promotion is only available online.
16, ASUS X407UF-BV038T (STAR GRAY),"10,900.-","13,630 views",Free delivery
17, DELL XPS 15-W567951603THW10 (SILVER),"94,900.-","13,387 views",Free delivery
18, HP 15-DA1053TX (SILVER),"16,590.-","13,111 views",Free delivery
19, ASUS X407UF-BV041T (GOLD),"13,490.-","12,851 views",Free delivery
20, ASUS VIVOBOOK 15 X512DA-EJ313T (PEACOCK BLUE),"13,900.-","12,740 views",Free delivery
21, ASUS VIVOBOOK 14 X412UA-EK184T (SLATE GRAY),"11,990.-","12,510 views",Free delivery
22, HP 14S-DK0004AX (WHITE),"10,790.-","12,110 views",Free delivery
23, ASUS VIVOBOOK 15 X512DA-EJ140T (SLATE GRAY),"15,990.-","12,085 views",Free delivery
24, HUAWEI MATEBOOK X PRO MACH-W29C (SILVER),Price,Free delivery,This promotion is only available online.
25, DELL INSPIRON 3476-W566954116WTHW10 (BLACK),"19,900.-","11,958 views",Free delivery
26, DELL INSPIRON 7591-W567015001THW10 (SILVER),Price,Free delivery,This promotion is only available online.
27, ASUS VIVOBOOK 15 X512DA-EJ141T (PEACOCK BLUE),"15,990.-","11,839 views",Free delivery
28, ASUS VIVOBOOK 14 X412FL-EK085T (SLATE GRAY),"18,990.-","11,603 views",Free delivery
29, ASUS X407UF-BV053T (GOLD),"10,900.-","11,492 views",Free delivery
30, DELL INSPIRON 7472-W56795261RTHW10 (GRAY),"25,900.-","10,976 views",Free delivery
31, ASUS VIVOBOOK 14 X412FL-EK084T (TRANSPARENT SILVER),"18,990.-","10,920 views",Free delivery
32, ASUS VIVOBOOK 15 X512DA-EJ040T (SLATE GRAY),"13,900.-","10,884 views",Free delivery
33, DELL VOSTRO 3580-W5680152074THW10,"17,990.-","10,515 views",Free delivery
34, ACER ASPIRE A315-22-48AL (BLACK),"7,990.-","10,325 views",Free delivery
35, LENOVO IDEAPAD 330-14IKBR-81G200A1TA (ONYX BLACK),Price,Free delivery,This promotion is only available online.
36, ASUS VIVOBOOK 14 X412FJ-EK217T (PEACOCK BLUE),"16,900.-","9,778 views",Free delivery
